,Unnamed: 0,sentence,language,set,gold_amr,parsed_amr,smatch
0,0,List all boardgames by GMT.,en,train,"# ::snt List all boardgames by GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt List all boardgames by GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853816
(z0 / list-01
    :ARG1 (z1 / game
              :mod (z2 / board)
              :mod (z3 / all))
    :time (z4 / by
              :op1 (z5 / date-entity
                       :timezone ""GMT"")))",0.37
1,1,Listez tous les jeux de société de GMT.,fr,train,"# ::snt Listez tous les jeux de société de GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Listez tous les jeux de société de GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853871
(z0 / listez-01
    :ARG1 (z1 / jour
              :mod (z2 / société)
              :quant (z3 / les))
    :medium (z4 / publication
                :wiki ""Deutsche_Presse-Agentur""
                :name (z5 / name
                          :op1 ""GMT"")))",0.43
2,2,Liste die Brettspiele von GMT auf.,de,train,"# ::snt Liste die Brettspiele von GMT auf.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Liste die Brettspiele von GMT auf.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853900
(z0 / liste
    :mod (z1 / event
             :wiki -
             :name (z2 / name
                       :op1 ""Brettspiele""
                       :op2 ""von""
                       :op3 ""GMT"")))",0.25
3,3,Zeige mir alle Brettspiele von GMT.,de,train,"# ::snt Zeige mir alle Brettspiele von GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Zeige mir alle Brettspiele von GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853927
(z0 / person
    :wiki -
    :name (z1 / name
              :op1 ""Zeige""
              :op2 ""mir""
              :op3 ""alle""
              :op4 ""Brettspiele""
              :op5 ""von""
              :op6 ""GMT""))",0.16
4,4,Перечислите все игры GMT.,ru,train,"# ::snt Перечислите все игры GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Перечислите все игры GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853954
(z0 / date-entity
    :time ""20:00""
    :timezone ""GMT"")",0.11
5,5,Перерахуйте всі ігри GMT.,uk,train,"# ::snt Перерахуйте всі ігри GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Перерахуйте всі ігри GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.853982
(z0 / date-entity
    :time ""0:00""
    :timezone ""GMT"")",0.11
6,6,Išvardinkite visus stalo žaidimus pagal GMT.,lt,train,"# ::snt Išvardinkite visus stalo žaidimus pagal GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Išvardinkite visus stalo žaidimus pagal GMT.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854009
(z0 / visus
    :ARG1-of (z1 / mean-01
                 :ARG2 (z2 / string-entity
                           :value ""žaidimus""
                           :time (z3 / date-entity
                                     :time ""GMT""))))",0.08
7,7,Išvardykite visus GMT žaidimus.,lt,train,"# ::snt Išvardykite visus GMT žaidimus.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Išvardykite visus GMT žaidimus.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854038
(z0 / say-01
    :ARG1 (z1 / visus
              :op1 (z2 / date-entity
                       :time ""GMT""))
    :ARG2 (z3 / person
              :wiki -
              :name (z4 / name
                        :op1 ""žaidimus"")))",0.3
8,8,Who developed Skype?,en,train,"# ::snt Who developed Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Who developed Skype?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854065
(z0 / develop-02
    :ARG0 (z1 / amr-unknown)
    :ARG1 (z2 / product
              :wiki ""Skype""
              :name (z3 / name
                        :op1 ""Skype"")))",0.95
9,9,Qui a développé Skype ?,fr,train,"# ::snt Qui a développé Skype ?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Qui a développé Skype ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854092
(z0 / product
    :wiki ""Skype""
    :name (z1 / name
              :op1 ""Skype"")
    :ARG1-of (z2 / develop-02)
    :mod (z3 / qui)
    :polarity (z4 / amr-unknown))",0.67
