,sentence,language,set,gold_amr,parsed_amr,smatch
0,List all boardgames by GMT.,en,train,"# ::snt List all boardgames by GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt List all boardgames by GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.37
1,Listez tous les jeux de société de GMT.,fr,train,"# ::snt Listez tous les jeux de société de GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Liste die Brettspiele von GMT auf.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.43
2,Liste die Brettspiele von GMT auf.,de,train,"# ::snt Liste die Brettspiele von GMT auf.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Zeige mir alle Brettspiele von GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.25
3,Zeige mir alle Brettspiele von GMT.,de,train,"# ::snt Zeige mir alle Brettspiele von GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Išvardinkite visus stalo žaidimus pagal GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.16
4,Перечислите все игры GMT.,ru,train,"# ::snt Перечислите все игры GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Išvardykite visus GMT žaidimus.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.11
5,Перерахуйте всі ігри GMT.,uk,train,"# ::snt Перерахуйте всі ігри GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Перечислите все игры GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.11
6,Išvardinkite visus stalo žaidimus pagal GMT.,lt,train,"# ::snt Išvardinkite visus stalo žaidimus pagal GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Перерахуйте всі ігри GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.08
7,Išvardykite visus GMT žaidimus.,lt,train,"# ::snt Išvardykite visus GMT žaidimus.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))","# ::snt Listez tous les jeux de société de GMT.
(l / list-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / boardgame
            :mod (a / all)
            :prep-by (c / company :name (n / name :op1 ""GMT""))))",0.3
8,Who developed Skype?,en,train,"# ::snt Who developed Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Who developed Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.95
9,Qui a développé Skype ?,fr,train,"# ::snt Qui a développé Skype ?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Wer entwickelte Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.67
10,Wer entwickelte Skype?,de,train,"# ::snt Wer entwickelte Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Wer hat Skype entwickelt?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.63
11,Wer hat Skype entwickelt?,de,train,"# ::snt Wer hat Skype entwickelt?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Kas sukūrė „Skype“?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.63
12,Кто разработал скайп,ru,train,"# ::snt Кто разработал скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто разработал скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.18
13,Кто создал Скайп?,ru,train,"# ::snt Кто создал Скайп?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто создал Скайп?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.29
14,Кто разработал Skype?,ru,train,"# ::snt Кто разработал Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто разработал Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.14
15,Хто розробив скайп,uk,train,"# ::snt Хто розробив скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Хто розробив скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.18
16,Kas sukūrė „Skype“?,lt,train,"# ::snt Kas sukūrė „Skype“?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Хто распрацаваў скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.63
17,Хто распрацаваў скайп,be,train,"# ::snt Хто распрацаваў скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Qui a développé Skype ?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))",0.18
18,Which people were born in Heraklion?,en,train,"# ::snt Which people were born in Heraklion?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Which people were born in Heraklion?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.76
19,Qui est né à Heraklion ?,fr,train,"# ::snt Qui est né à Heraklion ?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Welche Personen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.5
20,Welche Personen wurden in Heraklion geboren?,de,train,"# ::snt Welche Personen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Welche Menschen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.75
21,Welche Menschen wurden in Heraklion geboren?,de,train,"# ::snt Welche Menschen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Kas gimė Heraklione
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.67
22,Кто родился в Ираклионе,ru,train,"# ::snt Кто родился в Ираклионе
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Кто родился в Ираклионе
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.14
23,Кто был рожден в Гераклионе?,ru,train,"# ::snt Кто был рожден в Гераклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Кто был рожден в Гераклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.14
24,Какие люди родились в Ираклионе?,ru,train,"# ::snt Какие люди родились в Ираклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Какие люди родились в Ираклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.25
25,Хто народився в Іракліоні,uk,train,"# ::snt Хто народився в Іракліоні
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Хто народився в Іракліоні
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.13
26,Kas gimė Heraklione,lt,train,"# ::snt Kas gimė Heraklione
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Qui est né à Heraklion ?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))",0.21
27,In which U.S. state is Area 51 located?,en,train,"# ::snt In which U.S. state is Area 51 located?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In which U.S. state is Area 51 located?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.52
